ethereum_address,github_username,impact_percentage
0x5D388Ec24Cc2C0C77458338696aa63AFB706A7b1,nya-elimu,37.55
0xd46Cc93E3eE6a4fb532D9B48E95be7eD8f8f1DA0,jo-elimu,25.99
0x342FaeB14127A79735144bbdC772AbB6b1bBe343,coderabbitai,17.65
0x0000000000000000000000000000000000000000,Keerthi4308,2.74
0x1f1319c79F1496357781691a22B1f37dAC9D844F,gscdev,4.41
